,datetime,code,name,block,block2,block3,pct
115,2018-07-03 11:29:00,300484,蓝海华腾,送转超跌,锂电池,股权转让,0.03
116,2018-07-03 11:29:00,300515,三德科技,送转超跌,锂电池,股权转让,0.06
117,2018-07-03 13:01:00,300393,中来股份,股份回购,电气设备,江苏,0.08
118,2018-07-03 13:03:00,300393,中来股份,股份回购,电气设备,江苏,0.04
119,2018-07-03 13:04:00,300393,中来股份,股份回购,电气设备,江苏,0.04
120,2018-07-03 13:08:00,002532,新界泵业,通用设备,送转超跌,节能环保,0.03
121,2018-07-03 13:20:00,002724,海洋王,送转超跌,节能照明,石墨烯,0.03
122,2018-07-03 13:23:00,002326,永太科技,高市盈率,锂电池,OLED概念,0.05
123,2018-07-03 13:23:00,300392,腾信股份,高市盈率,锂电池,OLED概念,0.05
124,2018-07-03 13:29:00,002871,伟隆股份,通用设备,送转超跌,活跃股,0.03
125,2018-07-03 13:31:00,600520,文一科技,集成电路,被举牌,芯片,0.04
126,2018-07-03 13:48:00,300578,会畅通讯,高质押股,高市净率,长三角,0.04
127,2018-07-03 14:01:00,300519,新光药业,高贝塔值,浙江,中药,0.03
128,2018-07-03 14:03:00,600476,湘邮科技,高市净率,湖南,中证央企,0.03
129,2018-07-03 14:09:00,603189,网达软件,计算机应用,移动互联网,浦东,0.04
130,2018-07-03 14:11:00,002052,同洲电子,视听器材,股权转让,电子信息,0.07
131,2018-07-03 14:12:00,300656,民德电子,重组预案,芯片概念,电子支付,0.03
132,2018-07-03 14:15:00,300687,赛意信息,计算机应用,股权激励,深次新股,0.03
133,2018-07-03 14:17:00,002134,天津普林,摘帽概念,摘帽,小盘股,0.03
134,2018-07-03 14:27:00,000819,岳阳兴长,制造业,高质押股,预计扭亏,0.03
135,2018-07-03 14:27:00,603988,中电电机,制造业,高质押股,预计扭亏,0.05
136,2018-07-03 14:36:00,300647,超频三,高市净率,昨高换手,近期异动,0.03
137,2018-07-03 14:36:00,300745,欣锐科技,高市净率,昨高换手,近期异动,0.04
138,2018-07-03 14:37:00,300615,欣天科技,高市盈率,通信设备,近期异动,0.03
139,2018-07-03 14:42:00,300638,广和通,高市净率,阿里概念,阿里巴巴概念,0.03
140,2018-07-03 14:51:00,002438,江苏神通,通用设备,节能环保,股权转让,0.03
141,2018-07-03 14:56:00,002699,美盛文化,高质押股,小盘成长,上周弱势,0.05
142,2018-07-04 09:31:00,000587,金洲慈航,上周弱势,深股通,融资融券标的,0.06
143,2018-07-04 09:31:00,000829,天音控股,上周弱势,深股通,融资融券标的,0.03
144,2018-07-04 09:31:00,002609,捷顺科技,上周弱势,深股通,融资融券标的,0.06
145,2018-07-04 09:31:00,002855,捷荣技术,上周弱势,深股通,融资融券标的,0.05
146,2018-07-04 09:31:00,600133,东湖高新,上周弱势,深股通,融资融券标的,0.04
147,2018-07-04 09:31:00,600568,中珠医疗,上周弱势,深股通,融资融券标的,0.04
148,2018-07-04 09:32:00,000510,金路集团,锂电池,昨日连板,上证380,0.03
149,2018-07-04 09:32:00,300444,双杰电气,锂电池,昨日连板,上证380,0.05
150,2018-07-04 09:32:00,603877,太平鸟,锂电池,昨日连板,上证380,0.04
151,2018-07-04 09:33:00,600476,湘邮科技,高市净率,湖南,中证央企,0.04
152,2018-07-04 09:34:00,002674,兴业科技,高股息股,近期新低,纺织制造,0.07
153,2018-07-04 09:37:00,603177,德创环保,脱硫脱硝,空气治理,环保工程,0.04
154,2018-07-04 09:38:00,600806,退市昆机,高端装备,工业4.0,制造业,0.04
155,2018-07-04 09:39:00,002346,柘中股份,锂电池,电气设备,整体上市,0.05
156,2018-07-04 09:40:00,300732,设研院,新股与次新股,次新股,高市净率,0.08
157,2018-07-04 09:40:00,300745,欣锐科技,新股与次新股,次新股,高市净率,0.03
158,2018-07-04 09:42:00,002928,华夏航空,贵州,白马股,深次新股,0.04
159,2018-07-04 09:45:00,002256,兆新股份,高质押股,无人驾驶,充电桩,0.04
160,2018-07-04 09:47:00,002256,兆新股份,高质押股,无人驾驶,充电桩,0.03
161,2018-07-04 09:48:00,603970,中农立华,近期异动,活跃股,次新股,0.05
162,2018-07-04 09:49:00,000795,英洛华,制造业,山东,黄河三角,0.03
163,2018-07-04 09:49:00,002374,丽鹏股份,制造业,山东,黄河三角,0.04
164,2018-07-04 09:49:00,603223,恒通股份,制造业,山东,黄河三角,0.03
165,2018-07-04 09:50:00,000713,丰乐种业,制造业,安徽,微利股,0.03
166,2018-07-04 09:50:00,000795,英洛华,制造业,安徽,微利股,0.07
167,2018-07-04 09:50:00,002374,丽鹏股份,制造业,安徽,微利股,0.04
168,2018-07-04 09:51:00,603363,傲农生物,高市净率,股权激励,福建,0.03
169,2018-07-04 09:54:00,000752,西藏发展,饮料制造,西藏,被举牌,0.03
170,2018-07-04 09:56:00,002297,博云新材,高校背景,高校,长株潭,0.04
171,2018-07-04 09:57:00,002858,力盛赛车,预计扭亏,高质押股,北京,0.03
172,2018-07-04 09:57:00,300312,邦讯技术,预计扭亏,高质押股,北京,0.03
173,2018-07-04 10:00:00,600476,湘邮科技,高市净率,湖南,中证央企,0.03
174,2018-07-04 10:06:00,603045,福达合金,高市盈率,高市净率,电气设备,0.05
175,2018-07-04 10:10:00,002231,奥维通信,高质押股,预计扭亏,通信设备,0.07
176,2018-07-04 10:12:00,002467,二六三,通信服务,融资融券标的,融资融券,0.07
177,2018-07-04 10:13:00,300025,华星创业,通信设备,电子信息,浙江,0.04
178,2018-07-04 10:19:00,600319,亚星化学,黄河三角,高市净率,近期新低,0.04
179,2018-07-04 10:22:00,000777,中核科技,融资融券,核电,核电核能,0.08
180,2018-07-04 10:22:00,002130,沃尔核材,融资融券,核电,核电核能,0.03
181,2018-07-04 10:23:00,002438,江苏神通,核电核能,核电,黑龙江,0.07
182,2018-07-04 10:23:00,300489,中飞股份,核电核能,核电,黑龙江,0.04
183,2018-07-04 10:26:00,300265,通光线缆,高质押股,证金持股,电气设备,0.03
184,2018-07-04 10:40:00,002606,大连电瓷,送转超跌,近期异动,辽宁,0.04
185,2018-07-04 10:44:00,002114,罗平锌电,制造业,高铁,央企国资改革,0.04
186,2018-07-04 10:44:00,600495,晋西车轴,制造业,高铁,央企国资改革,0.04
187,2018-07-04 10:51:00,002606,大连电瓷,送转超跌,近期异动,辽宁,0.04
188,2018-07-04 11:10:00,000971,高升控股,重组股,通信设备,湖北,0.04
189,2018-07-04 11:15:00,002356,赫美集团,高送转,微利股,互联网+,0.03
190,2018-07-04 13:05:00,002356,赫美集团,高送转,微利股,互联网+,0.03
191,2018-07-04 13:06:00,300392,腾信股份,高市盈率,连续亏损,股权转让,0.04
192,2018-07-04 13:12:00,002891,中宠股份,电子商务,深次新股,次新股,0.03
193,2018-07-04 13:13:00,000558,莱茵体育,高质押股,杭州亚运会,体育产业,0.03
194,2018-07-04 13:22:00,300135,宝利国际,制造业,微利股,高市盈率,0.03
195,2018-07-04 13:22:00,300147,香雪制药,制造业,微利股,高市盈率,0.04
196,2018-07-04 13:25:00,600679,上海凤凰,高市盈率,非汽车交运,金融改革,0.03
197,2018-07-04 13:26:00,600679,上海凤凰,制造业,上海国资改革,上海自贸,0.06
198,2018-07-04 13:26:00,600689,上海三毛,制造业,上海国资改革,上海自贸,0.05
199,2018-07-04 13:27:00,600689,上海三毛,纺织制造,浦东,微利股,0.05
200,2018-07-04 13:35:00,002198,嘉应制药,重组预案,广东其它,制造业,0.04
201,2018-07-04 13:36:00,002125,湘潭电化,长株潭,锂电池,送转超跌,0.03
202,2018-07-04 13:50:00,000019,深深宝Ａ,饮料制造,重组股,深圳国资改革,0.03
203,2018-07-04 13:51:00,000011,深物业A,深圳国资改革,深圳,粤港澳概念,0.03
204,2018-07-04 13:51:00,000014,沙河股份,深圳国资改革,深圳,粤港澳概念,0.03
205,2018-07-04 13:51:00,000019,深深宝Ａ,深圳国资改革,深圳,粤港澳概念,0.04
206,2018-07-04 13:51:00,000023,深天地Ａ,深圳国资改革,深圳,粤港澳概念,0.03
207,2018-07-04 13:51:00,000045,深纺织Ａ,深圳国资改革,深圳,粤港澳概念,0.03
208,2018-07-04 13:53:00,000025,特 力Ａ,高市净率,综合类,深股通,0.03
209,2018-07-04 14:10:00,002125,湘潭电化,长株潭,锂电池,送转超跌,0.04
210,2018-07-04 14:13:00,601330,绿色动力,高市净率,近期异动,节能环保,0.06
211,2018-07-04 14:22:00,603819,神力股份,高质押股,高贝塔值,风电,0.03
212,2018-07-04 14:48:00,002356,赫美集团,高送转,高质押股,两年新股,0.04
213,2018-07-04 14:48:00,002824,和胜股份,高送转,高质押股,两年新股,0.13
214,2018-07-04 14:53:00,002058,威 尔 泰,高市净率,被举牌,股权转让,0.03
215,2018-07-04 14:55:00,300509,新美星,江苏,已高送转,工业4.0,0.03
216,2018-07-04 14:57:00,002653,海思科,金融改革,西藏,融资融券标的,0.06
217,2018-07-05 09:31:00,002231,奥维通信,上周强势,两年新股,高质押股,0.03
218,2018-07-05 09:31:00,002765,蓝黛传动,上周强势,两年新股,高质押股,0.03
219,2018-07-05 09:31:00,002855,捷荣技术,上周强势,两年新股,高质押股,0.05
220,2018-07-05 09:31:00,300393,中来股份,上周强势,两年新股,高质押股,0.04
221,2018-07-05 09:31:00,300635,达安股份,上周强势,两年新股,高质押股,0.08
222,2018-07-05 09:31:00,600132,重庆啤酒,上周强势,两年新股,高质押股,0.04
223,2018-07-05 09:31:00,600225,天津松江,上周强势,两年新股,高质押股,0.03
224,2018-07-05 09:31:00,601619,嘉泽新能,上周强势,两年新股,高质押股,0.04
225,2018-07-05 09:31:00,603200,上海洗霸,上周强势,两年新股,高质押股,0.03
226,2018-07-05 09:31:00,603895,天永智能,上周强势,两年新股,高质押股,0.04
227,2018-07-05 09:31:00,603958,哈森股份,上周强势,两年新股,高质押股,0.04
228,2018-07-05 09:32:00,000953,ST河化,高质押股,股权转让,军工,0.04
229,2018-07-05 09:32:00,300042,朗科科技,高质押股,股权转让,军工,0.04
230,2018-07-05 09:32:00,300278,华昌达,高质押股,股权转让,军工,0.03
231,2018-07-05 09:32:00,300426,唐德影视,高质押股,股权转让,军工,0.05
232,2018-07-05 09:32:00,300547,川环科技,高质押股,股权转让,军工,0.05
233,2018-07-05 09:33:00,002808,苏州恒久,高质押股,送转超跌,送转潜力,0.04
234,2018-07-05 09:33:00,300042,朗科科技,高质押股,送转超跌,送转潜力,0.05
235,2018-07-05 09:34:00,002541,鸿路钢构,制造业,江苏,高质押股,0.03
236,2018-07-05 09:34:00,300265,通光线缆,制造业,江苏,高质押股,0.03
237,2018-07-05 09:34:00,601990,南京证券,制造业,江苏,高质押股,0.03
238,2018-07-05 09:35:00,002115,三维通信,高质押股,移动互联网,信息技术业,0.03
239,2018-07-05 09:35:00,002231,奥维通信,高质押股,移动互联网,信息技术业,0.05
240,2018-07-05 09:35:00,300278,华昌达,高质押股,移动互联网,信息技术业,0.04
241,2018-07-05 09:35:00,300598,诚迈科技,高质押股,移动互联网,信息技术业,0.05
242,2018-07-05 09:36:00,600686,金龙汽车,高市盈率,融资融券标的,融资融券,0.03
243,2018-07-05 09:37:00,002917,金奥博,深次新股,深圳,活跃股,0.03
